"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Afghanistan","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Angola","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Angola","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Angola","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Angola","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Angola","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Angola","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Albania","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Albania","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Albania","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Albania","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Albania","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Albania","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Andorra","18+  years","Male","22.4 [6.9-60.3]","22.44943","6.93844","60.27854",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Andorra","18+  years","Both sexes","26.1 [11.6-66.5]","26.08065","11.61176","66.51451",""
